"course_id","teacher_id","question_no","no_participants","resp_share","SET_score_avg","percent_failed_cur","academic_degree","seniority","sex"
"0000-BHP","54655",901,255,0.211764705882353,4.22222222222222,0,"no_dgr",4,"male"
"0000-BHP","54655",903,255,0.207843137254902,3.67924528301887,0,"no_dgr",4,"male"
"0000-BHP","54655",904,255,0.211764705882353,3.74074074074074,0,"no_dgr",4,"male"
"0000-BHP","54655",905,255,0.207843137254902,3.30188679245283,0,"no_dgr",4,"male"
"0000-BHP","54655",907,255,0.207843137254902,3.67924528301887,0,"no_dgr",4,"male"
"0000-BW-NP","3432",902,998,0.0410821643286573,4.04878048780488,0.0722980450018443,"ma",11,"male"
"0000-BW-NP","3432",903,998,0.0420841683366733,3.95238095238095,0.0722980450018443,"ma",11,"male"
"0000-BW-NP","3432",906,998,0.0410821643286573,4.14634146341463,0.0722980450018443,"ma",11,"male"
"0000-BW-NP","3432",909,998,0.0410821643286573,4.07317073170732,0.0722980450018443,"ma",11,"male"
"0000-BW-NP","3773",901,1003,0.0538384845463609,4.05555555555556,0.0722980450018443,"ma",11,"male"
"0000-BW-NP","3773",904,1003,0.0528414755732802,3.88679245283019,0.0722980450018443,"ma",11,"male"
"0000-BW-NP","3773",907,1003,0.0538384845463609,3.88888888888889,0.0722980450018443,"ma",11,"male"
"0000-BW-NP","3773",908,1003,0.0548354935194417,3.96363636363636,0.0722980450018443,"ma",11,"male"
"0000-BW-NP","3773",909,1003,0.0528414755732802,3.88679245283019,0.0722980450018443,"ma",11,"male"
"0000-BW-NP","54655",901,998,0.165330661322645,4.26666666666667,0.0722980450018443,"no_dgr",4,"male"
"0000-BW-NP","54655",902,998,0.165330661322645,3.64848484848485,0.0722980450018443,"no_dgr",4,"male"
"0000-BW-NP","54655",903,998,0.164328657314629,3.76829268292683,0.0722980450018443,"no_dgr",4,"male"
"0000-BW-NP","54655",904,998,0.166332665330661,3.80722891566265,0.0722980450018443,"no_dgr",4,"male"
"0000-BW-NP","54655",907,998,0.163326653306613,3.85889570552147,0.0722980450018443,"no_dgr",4,"male"
"0000-BW-NP","54655",908,998,0.162324649298597,4.07407407407407,0.0722980450018443,"no_dgr",4,"male"
"0000-BW-NP","54655",909,998,0.165330661322645,3.95757575757576,0.0722980450018443,"no_dgr",4,"male"
"0000-BW-SP","3432",901,596,0.0402684563758389,4.375,0.00912921348314606,"ma",11,"male"
"0000-BW-SP","3432",903,596,0.0402684563758389,4.20833333333333,0.00912921348314606,"ma",11,"male"
"0000-BW-SP","3432",904,596,0.0402684563758389,4.375,0.00912921348314606,"ma",11,"male"
"0000-BW-SP","3432",908,596,0.0402684563758389,4.41666666666667,0.00912921348314606,"ma",11,"male"
"0000-BW-SP","4299",901,594,0.0471380471380471,4.17857142857143,0.00912921348314606,"dr",10,"male"
"0000-BW-SP","4299",902,594,0.0454545454545454,4.11111111111111,0.00912921348314606,"dr",10,"male"
"0000-BW-SP","4299",904,594,0.0454545454545454,3.96296296296296,0.00912921348314606,"dr",10,"male"
"0000-BW-SP","4299",905,594,0.0454545454545454,3.55555555555556,0.00912921348314606,"dr",10,"male"
"0000-BW-SP","4299",906,594,0.0454545454545454,4.18518518518519,0.00912921348314606,"dr",10,"male"
"0000-BW-SP","4299",907,594,0.0454545454545454,4.11111111111111,0.00912921348314606,"dr",10,"male"
"0000-BW-SP","4299",909,594,0.0454545454545454,4.18518518518519,0.00912921348314606,"dr",10,"male"
"0000-BW-SP","54655",901,591,0.2165820642978,4.3046875,0.00912921348314606,"no_dgr",4,"male"
"0000-BW-SP","54655",902,591,0.214890016920474,3.64566929133858,0.00912921348314606,"no_dgr",4,"male"
"0000-BW-SP","54655",903,591,0.22165820642978,3.85496183206107,0.00912921348314606,"no_dgr",4,"male"
"0000-BW-SP","54655",904,591,0.219966159052453,4.03076923076923,0.00912921348314606,"no_dgr",4,"male"
"0000-BW-SP","54655",906,591,0.219966159052453,4.12307692307692,0.00912921348314606,"no_dgr",4,"male"
"0000-BW-SP","54655",907,591,0.2165820642978,3.90625,0.00912921348314606,"no_dgr",4,"male"
"0000-BW-SP","54655",909,591,0.213197969543147,3.97619047619048,0.00912921348314606,"no_dgr",4,"male"
"0000-IIC","4299",901,132,0.0909090909090909,4.75,0.00970873786407766,"dr",10,"male"
"0000-IIC","4299",902,132,0.0909090909090909,4.41666666666667,0.00970873786407766,"dr",10,"male"
"0000-IIC","4299",904,132,0.0909090909090909,4.75,0.00970873786407766,"dr",10,"male"
"0000-IIC","4299",905,132,0.0833333333333333,4.81818181818182,0.00970873786407766,"dr",10,"male"
"0000-IIC","4299",906,132,0.0909090909090909,4.66666666666667,0.00970873786407766,"dr",10,"male"
"0000-IM-SE","3432",902,822,0.0498783454987834,3.90243902439024,0.0171703296703297,"ma",11,"male"
"0000-IM-SE","3432",903,822,0.0547445255474453,4.06666666666667,0.0171703296703297,"ma",11,"male"
"0000-IM-SE","3432",904,822,0.0523114355231143,4.18604651162791,0.0171703296703297,"ma",11,"male"
"0000-IM-SE","3432",905,822,0.0523114355231143,3.74418604651163,0.0171703296703297,"ma",11,"male"
"0000-IM-SE","3432",906,822,0.0510948905109489,4.16666666666667,0.0171703296703297,"ma",11,"male"
"0000-IM-SE","3432",907,822,0.0523114355231143,4.11627906976744,0.0171703296703297,"ma",11,"male"
"0000-IM-SE","3432",908,822,0.0510948905109489,4.14285714285714,0.0171703296703297,"ma",11,"male"
"0000-IM-SE","3432",909,822,0.0523114355231143,3.88372093023256,0.0171703296703297,"ma",11,"male"
"0000-IM-SE","4299",901,821,0.0511571254567601,4.21428571428571,0.0171703296703297,"dr",10,"male"
"0000-IM-SE","4299",903,821,0.048721071863581,4.225,0.0171703296703297,"dr",10,"male"
"0000-IM-SE","4299",904,821,0.048721071863581,4.25,0.0171703296703297,"dr",10,"male"
"0000-IM-SE","4299",905,821,0.0499390986601705,3.65853658536585,0.0171703296703297,"dr",10,"male"
"0000-IM-SE","4299",906,821,0.0475030450669915,4.12820512820513,0.0171703296703297,"dr",10,"male"
"0000-IM-SE","54655",901,826,0.263922518159806,4.15137614678899,0.0171703296703297,"no_dgr",4,"male"
"0000-IM-SE","54655",903,826,0.268765133171913,3.77027027027027,0.0171703296703297,"no_dgr",4,"male"
"0000-IM-SE","54655",906,826,0.256658595641647,4.05660377358491,0.0171703296703297,"no_dgr",4,"male"
"0000-IM-SE","54655",908,826,0.2590799031477,3.71028037383178,0.0171703296703297,"no_dgr",4,"male"
"0000-IM-SE","54655",909,826,0.261501210653753,3.75,0.0171703296703297,"no_dgr",4,"male"
"0000-Library","3432",901,168,0.18452380952381,4.64516129032258,0,"ma",11,"male"
"0000-Library","3432",902,168,0.18452380952381,3.45161290322581,0,"ma",11,"male"
"0000-Library","3432",904,168,0.18452380952381,4.09677419354839,0,"ma",11,"male"
"0000-Library","3432",906,168,0.178571428571429,4,0,"ma",11,"male"
"0000-Library","3432",907,168,0.178571428571429,4.1,0,"ma",11,"male"
"0000-Library","3432",908,168,0.166666666666667,4.03571428571429,0,"ma",11,"male"
"0000-Library","3432",909,168,0.18452380952381,3.80645161290323,0,"ma",11,"male"
"0000-OSH","54655",901,147,0.0884353741496599,4.46153846153846,0,"no_dgr",4,"male"
"0000-OSH","54655",902,147,0.0884353741496599,4.15384615384615,0,"no_dgr",4,"male"
"0000-OSH","54655",903,147,0.0884353741496599,4.38461538461539,0,"no_dgr",4,"male"
"0000-OSH","54655",904,147,0.0816326530612245,4.33333333333333,0,"no_dgr",4,"male"
"0000-OSH","54655",905,147,0.0884353741496599,3.84615384615385,0,"no_dgr",4,"male"
"0000-OSH","54655",907,147,0.0884353741496599,4.15384615384615,0,"no_dgr",4,"male"
"0000-OSH","54655",908,147,0.0884353741496599,4.15384615384615,0,"no_dgr",4,"male"
"0000-PE","3598",902,936,0.0598290598290598,3.69642857142857,0,"ma",11,"male"
"0000-PE","3598",903,936,0.0598290598290598,3.60714285714286,0,"ma",11,"male"
"0000-PE","3598",905,936,0.0598290598290598,3.53571428571429,0,"ma",11,"male"
"0000-PE","3598",907,936,0.0587606837606838,3.72727272727273,0,"ma",11,"male"
"0000-PE","3598",908,936,0.0576923076923077,3.87037037037037,0,"ma",11,"male"
"0000-PE","3598",909,936,0.0598290598290598,3.55357142857143,0,"ma",11,"male"
"0000-PE","75923",901,936,0.0459401709401709,4.16279069767442,0,"no_dgr",2,"female"
"0000-PE","75923",902,936,0.0448717948717949,3.9047619047619,0,"no_dgr",2,"female"
"0000-PE","75923",904,936,0.0448717948717949,3.97619047619048,0,"no_dgr",2,"female"
"0000-PE","75923",905,936,0.0459401709401709,3.74418604651163,0,"no_dgr",2,"female"
"0000-PE","75923",906,936,0.0448717948717949,3.9047619047619,0,"no_dgr",2,"female"
"0000-PE","75923",907,936,0.0427350427350427,3.825,0,"no_dgr",2,"female"
"0000-PE","75923",908,936,0.0459401709401709,3.86046511627907,0,"no_dgr",2,"female"
"0000-SEM-NP","3485",901,21,0.0476190476190476,4,0,"dr",11,"female"
"0000-SEM-NP","3485",902,21,0.0476190476190476,4,0,"dr",11,"female"
"0000-SEM-NP","3485",903,21,0.0476190476190476,4,0,"dr",11,"female"
"0000-SEM-NP","3485",905,21,0.0476190476190476,4,0,"dr",11,"female"
"0000-SEM-NP","3485",906,21,0.0476190476190476,4,0,"dr",11,"female"
"0000-SEM-NP","3485",909,21,0.0476190476190476,4,0,"dr",11,"female"
"0000-SEM-NP","38379",901,20,0.1,4.5,0,"dr",8,"female"
"0000-SEM-NP","38379",903,20,0.1,4.5,0,"dr",8,"female"
"0000-SEM-NP","38379",904,20,0.1,4.5,0,"dr",8,"female"
"0000-SEM-NP","38379",905,20,0.1,4.5,0,"dr",8,"female"
"0000-SEM-NP","38379",906,20,0.1,4,0,"dr",8,"female"
"0000-SEM-NP","38379",908,20,0.1,4.5,0,"dr",8,"female"
"0000-SEM-NP","38379",909,20,0.1,4.5,0,"dr",8,"female"
"0000-SEM-NP","40937",903,20,0.1,4.5,0,"ma",7,"female"
"0000-SEM-NP","40937",904,20,0.1,4.5,0,"ma",7,"female"
"0000-SEM-NP","40937",905,20,0.1,4.5,0,"ma",7,"female"
"0000-SEM-NP","40937",907,20,0.1,5,0,"ma",7,"female"
"0000-SEM-NP","40937",909,20,0.1,4.5,0,"ma",7,"female"
"0000-SEM-NP","43908",902,22,0.136363636363636,4.66666666666667,0,"dr",6,"male"
"0000-SEM-NP","43908",903,22,0.136363636363636,4.66666666666667,0,"dr",6,"male"
"0000-SEM-NP","43908",904,22,0.136363636363636,4.66666666666667,0,"dr",6,"male"
"0000-SEM-NP","43908",905,22,0.0909090909090909,4.5,0,"dr",6,"male"
"0000-SEM-NP","43908",906,22,0.136363636363636,4.66666666666667,0,"dr",6,"male"
"0000-SEM-NP","43908",908,22,0.136363636363636,4.66666666666667,0,"dr",6,"male"
"0000-SEM-NP","43908",909,22,0.136363636363636,4.66666666666667,0,"dr",6,"male"
"0000-SEM-SE","4299",902,23,0.304347826086957,3.71428571428571,0.096969696969697,"dr",10,"male"
"0000-SEM-SE","4299",903,23,0.304347826086957,4.14285714285714,0.096969696969697,"dr",10,"male"
"0000-SEM-SE","4299",904,23,0.304347826086957,3.85714285714286,0.096969696969697,"dr",10,"male"
"0000-SEM-SE","4299",905,23,0.304347826086957,3.14285714285714,0.096969696969697,"dr",10,"male"
"0000-SEM-SE","4299",906,23,0.304347826086957,4.14285714285714,0.096969696969697,"dr",10,"male"
"0000-SEM-SE","4299",908,23,0.260869565217391,3.16666666666667,0.096969696969697,"dr",10,"male"
"0000-SEM-SE","37025",903,15,0.133333333333333,4.5,0.096969696969697,"dr",10,"male"
"0000-SEM-SE","37025",904,15,0.0666666666666667,4,0.096969696969697,"dr",10,"male"
"0000-SEM-SE","37025",905,15,0.133333333333333,4,0.096969696969697,"dr",10,"male"
"0000-SEM-SE","37025",906,15,0.133333333333333,4,0.096969696969697,"dr",10,"male"
"0000-SEM-SE","37025",907,15,0.133333333333333,4,0.096969696969697,"dr",10,"male"
"0000-SEM-SE","40903",901,22,0.227272727272727,5,0.096969696969697,"dr",7,"male"
"0000-SEM-SE","40903",903,22,0.227272727272727,4.8,0.096969696969697,"dr",7,"male"
"0000-SEM-SE","40903",904,22,0.227272727272727,4.6,0.096969696969697,"dr",7,"male"
"0000-SEM-SE","40903",905,22,0.227272727272727,4,0.096969696969697,"dr",7,"male"
"0000-SEM-SE","40903",906,22,0.227272727272727,5,0.096969696969697,"dr",7,"male"
"0000-SEM-SE","40903",907,22,0.227272727272727,4.6,0.096969696969697,"dr",7,"male"
"0000-SEM-SE","40903",908,22,0.227272727272727,4.2,0.096969696969697,"dr",7,"male"
"0000-SEM-SE","40903",909,22,0.227272727272727,5,0.096969696969697,"dr",7,"male"
"0000-SEM-SE","51027",902,25,0.32,3.875,0.096969696969697,"ma",4,"male"
"0000-SEM-SE","51027",903,25,0.36,4.33333333333333,0.096969696969697,"ma",4,"male"
"0000-SEM-SE","51027",904,25,0.36,4.44444444444444,0.096969696969697,"ma",4,"male"
"0000-SEM-SE","51027",908,25,0.36,4.55555555555556,0.096969696969697,"ma",4,"male"
"0000-SEM-SE","51027",909,25,0.36,4.55555555555556,0.096969696969697,"ma",4,"male"
"0000-SEM-SE","54650",901,22,0.136363636363636,4.33333333333333,0.096969696969697,"dr",4,"male"
"0000-SEM-SE","54650",903,22,0.136363636363636,3.66666666666667,0.096969696969697,"dr",4,"male"
"0000-SEM-SE","54650",904,22,0.136363636363636,4.33333333333333,0.096969696969697,"dr",4,"male"
"0000-SEM-SE","54650",905,22,0.136363636363636,3.33333333333333,0.096969696969697,"dr",4,"male"
"0000-SEM-SE","54650",907,22,0.136363636363636,4.33333333333333,0.096969696969697,"dr",4,"male"
"0000-SEM-SE","54650",908,22,0.136363636363636,4.66666666666667,0.096969696969697,"dr",4,"male"
"0000-SEM-SE","54650",909,22,0.0909090909090909,4,0.096969696969697,"dr",4,"male"
"0000-SEM-SE","60947",903,23,0.391304347826087,4.88888888888889,0.096969696969697,"dr",2,"female"
"0000-SEM-SE","60947",904,23,0.391304347826087,4.77777777777778,0.096969696969697,"dr",2,"female"
"0000-SEM-SE","60947",905,23,0.391304347826087,4.44444444444444,0.096969696969697,"dr",2,"female"
"0000-SEM-SE","60947",906,23,0.391304347826087,4.88888888888889,0.096969696969697,"dr",2,"female"
"0000-SEM-SE","60947",907,23,0.391304347826087,4.88888888888889,0.096969696969697,"dr",2,"female"
"0000-SEM-SE","60947",909,23,0.391304347826087,5,0.096969696969697,"dr",2,"female"
"0000-SEM-SE","84689",901,22,0.0909090909090909,5,0.096969696969697,"ma",1,"male"
